1	2.456e-06
2	1.133e-06
3	1.203e-06
4	0.000e+00
5	0.000e+00
6	0.000e+00
7	0.000e+00
8	0.000e+00
9	3.728e-06
10	0.000e+00
11	3.469e-06
12	3.409e-06
13	5.228e-06
14	8.250e-06
15	1.138e-06
16	2.240e-05
17	3.595e-05
18	5.956e-05
19	9.897e-05
20	1.645e-04
21	2.785e-04
22	4.465e-04
23	7.527e-04
24	1.870e-03
25	3.637e-03
26	3.552e-03
27	6.105e-03
28	1.069e-02
29	1.689e-02
30	2.668e-02
31	4.457e-02
32	7.520e-02
33	1.233e-01
34	2.044e-01
35	3.410e-01
36	5.737e-01
37	9.538e-01
38	1.600e+00
39	2.694e+00
40	4.258e+00
41	5.940e+00
42	1.001e+01
43	1.666e+01
44	2.842e+01
45	4.781e+01
46	8.186e+01
47	1.427e+02
48	2.184e+02
49	3.465e+02
50	5.259e+02
